"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x1011555682368311296",2018-06-26 10:24:03,"x2953441090","KA_Partnership","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter for Android",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011555504798216192",2018-06-26 10:23:20,"x558789531","FSRH_UK","New consensus and #survey on #ReproductiveHealth by @PHE_uk shine a light on neglected #WomensHealth area https://t.co/1KCopMjYQQ #statement #FSRH https://t.co/Vt5qUuiCTE","Hootsuite Inc.",,,,FALSE,FALSE,1,2,"survey ReproductiveHealth WomensHealth statement FSRH",,"ow.ly/Z0lP30kFsos","https://t.co/1KCopMjYQQ","http://ow.ly/Z0lP30kFsos","http://pbs.twimg.com/media/DgnEXtBV4AAjau0.jpg","https://t.co/Vt5qUuiCTE","https://twitter.com/FSRH_UK/status/1011555504798216192/photo/1","photo","http://pbs.twimg.com/media/DgnEXtBV4AAjau0.jpg","https://t.co/Vt5qUuiCTE","https://twitter.com/FSRH_UK/status/1011555504798216192/photo/1",,"x41822696","PHE_uk","en",,,,,,,,,,,,,
"x1011555280096808960",2018-06-26 10:22:27,"x918833328941420544","andydalessio21","@BBCNews @BBCPanorama @BBCr4today @C4Dispatches @jonsnowC4 @thetimes @guardian Maybe this is why you ignore/misrepresent #PrescribedHarm and the criminal behaviour of @rcpsych @rcgp @NHSEngland @PHE_uk @MHRAgovuk et al. Maybe you’re in on it! Maybe your hands are tied? Who knows? https://t.co/7Ybq7kcCpS","Twitter for iPhone",,"x612473","BBCNews",TRUE,FALSE,0,0,"PrescribedHarm",,"twitter.com/onlyfluffyone/…","https://t.co/7Ybq7kcCpS","https://twitter.com/onlyfluffyone/status/1011539921750908928",,,,,,,,,"x612473 15944663 8170292 78298637 128216887 6107422 87818409 15300222 42866391 551426814 41822696 330993102","BBCNews BBCPanorama BBCr4today C4Dispatches jonsnowC4 thetimes guardian rcpsych rcgp NHSEngland PHE_uk MHRAgovuk","en","x1011539921750908928","The Science Media Centre, for which Wessely is a trustee, has played a key role in promoting misleading information about the Pace trial, and smearing critics. #MEdebate  https://t.co/gnKntdmHDJ",,,,,,,,,,,
"x1011555148999680001",2018-06-26 10:21:55,"x3964349476","Red656C","RT @AbrahamThePharm: MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https:…","Twitter for Android",,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,"x937739675397251073 41822696","AbrahamThePharm PHE_uk","en",,,"x1011320635224707074","MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https://t.co/ksHv6rj22O

@NHSChoices @DrJudyStone @GaviSeth @VaccinesToday @InfectiousDz @bmj_latest @jvalaball @Pharmacist_News @PeterHotez @AmeshAA @dennisdiclaudio https://t.co/fk32Oys1cu",,,,,,,,,
"x1011555131878502401",2018-06-26 10:21:51,"x1016205812","TheSexDoctorUK","RT @amritajesurasa: Today’s @PHE_uk #healthmatters highlights the importance of preconception health #ReadyForPregnancy #AreYouReady https:…","Twitter for iPhone",,,,FALSE,TRUE,0,2,"healthmatters ReadyForPregnancy AreYouReady",,,,,,,,,,,,,"x79020504 41822696","amritajesurasa PHE_uk","en",,,"x1011540477550751744","Today’s @PHE_uk #healthmatters highlights the importance of preconception health #ReadyForPregnancy #AreYouReady https://t.co/wPNCNGrMZH",,,,,,,,,
"x1011555115717873664",2018-06-26 10:21:48,"x414067985","BournHallClinic","A new @PHE_uk survey reveals that 31% of women experience severe reproductive health problems, but felt that societal, social and personal expectations made it difficult to make individual choices freely and seek appropriate care.https://t.co/33W98jIsn3","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"bbc.co.uk/news/health-44…","https://t.co/33W98jIsn3","https://www.bbc.co.uk/news/health-44605904",,,,,,,,,"x41822696","PHE_uk","en",,,,,,,,,,,,,
"x1011554486698070017",2018-06-26 10:19:18,"x20193529","Bovidiva","RT @AbrahamThePharm: MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https:…","Twitter for iPad",,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,"x937739675397251073 41822696","AbrahamThePharm PHE_uk","en",,,"x1011320635224707074","MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https://t.co/ksHv6rj22O

@NHSChoices @DrJudyStone @GaviSeth @VaccinesToday @InfectiousDz @bmj_latest @jvalaball @Pharmacist_News @PeterHotez @AmeshAA @dennisdiclaudio https://t.co/fk32Oys1cu",,,,,,,,,
"x1011554372520734720",2018-06-26 10:18:50,"x858678696","dianebowen13","RT @AbrahamThePharm: MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https:…","Twitter for iPhone",,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,"x937739675397251073 41822696","AbrahamThePharm PHE_uk","en",,,"x1011320635224707074","MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https://t.co/ksHv6rj22O

@NHSChoices @DrJudyStone @GaviSeth @VaccinesToday @InfectiousDz @bmj_latest @jvalaball @Pharmacist_News @PeterHotez @AmeshAA @dennisdiclaudio https://t.co/fk32Oys1cu",,,,,,,,,
"x1011554026708766720",2018-06-26 10:17:28,"x159045003","LGAcomms","Head on over to @PHE_uk for #heatwave advice for 
•health professionals
•care home managers

... as well as for advice on how to 
•look after children during a heatwave
•beat the heat 

➡️ https://t.co/OUQgqPqK53 #weatheraware @LGAWellbeing https://t.co/oWIxzAPEoE","Hootsuite Inc.",,,,FALSE,FALSE,1,2,"heatwave weatheraware",,"gov.uk/government/pub…","https://t.co/OUQgqPqK53","http://www.gov.uk/government/publications/heatwave-plan-for-england","http://pbs.twimg.com/media/DgnDBsQX4AEvQ8h.jpg","https://t.co/oWIxzAPEoE","https://twitter.com/LGAcomms/status/1011554026708766720/photo/1","photo","http://pbs.twimg.com/media/DgnDBsQX4AEvQ8h.jpg","https://t.co/oWIxzAPEoE","https://twitter.com/LGAcomms/status/1011554026708766720/photo/1",,"x41822696 605409314","PHE_uk LGAWellbeing","en",,,,,,,,,,,,,
"x1011553947629350912",2018-06-26 10:17:09,"x1016205812","TheSexDoctorUK","RT @TelegraphNews: Almost half of women are dissatisfied with their sex lives - but over 55s are least likely to complain, @PHE_uk survey f…","Twitter for iPhone",,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x14138785 41822696","TelegraphNews PHE_uk","en",,,"x1011501859733950464","Almost half of women are dissatisfied with their sex lives - but over 55s are least likely to complain, @PHE_uk survey finds
https://t.co/UFpWU4gT5I",,,,,,,,,
"x1011553725767446528",2018-06-26 10:16:16,"x558789531","FSRH_UK","RT @amritajesurasa: Today’s @PHE_uk #healthmatters highlights the importance of preconception health #ReadyForPregnancy #AreYouReady https:…","Twitter Web Client",,,,FALSE,TRUE,0,2,"healthmatters ReadyForPregnancy AreYouReady",,,,,,,,,,,,,"x79020504 41822696","amritajesurasa PHE_uk","en",,,"x1011540477550751744","Today’s @PHE_uk #healthmatters highlights the importance of preconception health #ReadyForPregnancy #AreYouReady https://t.co/wPNCNGrMZH",,,,,,,,,
"x1011553679663648769",2018-06-26 10:16:05,"x1007612212456943616","GMNandH","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter Web Client",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
"x1011553260598112256",2018-06-26 10:14:25,"x968454309934456834","KarenJoGN","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter for iPhone",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011552852534349824",2018-06-26 10:12:48,"x514532661","smitaEPG","RT @ssvasan: Great to speak @TheBusinessFest’s #bioconclave on @phe_uk’s #preclinical capabilities with high consequence pathogens. Thank y…","Twitter for Android",,,,FALSE,TRUE,0,5,"bioconclave preclinical",,,,,,,,,,,,,"x45348282 1019407560 41822696","ssvasan TheBusinessFest PHE_uk","en",,,"x1011550629427326976","Great to speak @TheBusinessFest’s #bioconclave on @phe_uk’s #preclinical capabilities with high consequence pathogens. Thank you @epg_london for the opportunity.",,,,,,,,,
"x1011552796968083456",2018-06-26 10:12:35,"x1377247476","PHE_EoEngland","RT @PHE_uk: Health and care professionals: Take a look at this blog for a useful set of tools and resources to help you promote physical ac…","Twitter Web Client",,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011535216371011584","Health and care professionals: Take a look at this blog for a useful set of tools and resources to help you promote physical activity in your routine clinical care https://t.co/Fj7lHp1JTJ #AllOurHealth https://t.co/vIsN7c4Juv",,,,,,,,,
"x1011552300194811904",2018-06-26 10:10:36,"x3092451820","eBug_UK","RT @AbrahamThePharm: MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https:…","Twitter Web Client",,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,"x937739675397251073 41822696","AbrahamThePharm PHE_uk","en",,,"x1011320635224707074","MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https://t.co/ksHv6rj22O

@NHSChoices @DrJudyStone @GaviSeth @VaccinesToday @InfectiousDz @bmj_latest @jvalaball @Pharmacist_News @PeterHotez @AmeshAA @dennisdiclaudio https://t.co/fk32Oys1cu",,,,,,,,,
"x1011551952017215488",2018-06-26 10:09:13,"x1058072870","HealthwatchLinc","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter Web Client",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011551787093037056",2018-06-26 10:08:34,"x475686709","relaxbackuk","Public Health England @PHE_uk and the Royal College of GPs @rcgp are encouraging adults to focus on brisk walking rather than counting steps. Hear @DrZoeWilliams talk about brisk walking on @ukhealthradio 
https://t.co/WIrhQnIF56","Twitter Web Client",,,,FALSE,FALSE,0,0,,,"ukhealthradio.com/blog/episode/d…","https://t.co/WIrhQnIF56","https://www.ukhealthradio.com/blog/episode/dr-zoe-willliams-from-trust-me-im-a-doctor-explains-how-10-minutes-of-brisk-walking-can-help-with-our-health-and-is-being-suggested-by-public-health-england-also-walking-for-health-organise-walks-t/",,,,,,,,,"x41822696 42866391 606546354 569242704","PHE_uk rcgp DrZoeWilliams ukhealthradio","en",,,,,,,,,,,,,
"x1011551683405639680",2018-06-26 10:08:09,"x1017668413","Support_Sustain","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter for iPhone",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
